item_id,gold_label,gold_source
cifar10_test_00000,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00001,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00002,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00003,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00004,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00005,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00006,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00007,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00008,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00009,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00010,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00011,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00012,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00013,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00014,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00015,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00016,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00017,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00018,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00019,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00020,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00021,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00022,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00023,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00024,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00025,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00026,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00027,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00028,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00029,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00030,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00031,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00032,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00033,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00034,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00035,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00036,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00037,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00038,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00039,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00040,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00041,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00042,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00043,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00044,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00045,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00046,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00047,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00048,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00049,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00050,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00051,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00052,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00053,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00054,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00055,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00056,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00057,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00058,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00059,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00060,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00061,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00062,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00063,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00064,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00065,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00066,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00067,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00068,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00069,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00070,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00071,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00072,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00073,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00074,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00075,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00076,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00077,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00078,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00079,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00080,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00081,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00082,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00083,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00084,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00085,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00086,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00087,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00088,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
