item_id,gold_label,gold_source
ASG000b3xp,reedbuck,Snapshot Serengeti expert gold_standard_data.csv
ASG000b45v,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b48a,reedbuck,Snapshot Serengeti expert gold_standard_data.csv
ASG000b4c2,elephant,Snapshot Serengeti expert gold_standard_data.csv
ASG000b4cg,otherBird,Snapshot Serengeti expert gold_standard_data.csv
ASG000b4k2,elephant,Snapshot Serengeti expert gold_standard_data.csv
ASG000b4vc,reedbuck,Snapshot Serengeti expert gold_standard_data.csv
ASG000b4y1,warthog,Snapshot Serengeti expert gold_standard_data.csv
ASG000b4yi,elephant,Snapshot Serengeti expert gold_standard_data.csv
ASG000b504,human,Snapshot Serengeti expert gold_standard_data.csv
ASG000b50u,giraffe,Snapshot Serengeti expert gold_standard_data.csv
ASG000b514,wildebeest,Snapshot Serengeti expert gold_standard_data.csv
ASG000b51h,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b51i,buffalo,Snapshot Serengeti expert gold_standard_data.csv
ASG000b55k,guineaFowl,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5b4,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5bx,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5c4,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5d5,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5dm,wildebeest|zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5du,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5e4,warthog,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5e9,otherBird|zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5el,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5eu,wildebeest|zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5fh,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5fo,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5h1,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5h9,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5hf,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5hg,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5hn,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5ht,buffalo,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5hy,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5jj,otherBird,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5ky,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5m1,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5n9,human|wildebeest|zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5nq,wildebeest|zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5nt,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5om,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5on,zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5ov,otherBird,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5pi,wildebeest|zebra,Snapshot Serengeti expert gold_standard_data.csv
ASG000b5pq,zebra,Snapshot Serengeti expert gold_standard_data.csv
