dataset,mode,lambda,n_budget_type,n_star,ratio,conclusion,conclusion_changed_from_primary,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,0.25,observed_max,4,0.13793103448275862,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.5,observed_max,8,0.27586206896551724,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.75,observed_max,14,0.4827586206896552,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.9,observed_max,25,0.8620689655172413,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.25,N95,3,0.10344827586206896,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.5,N95,6,0.20689655172413793,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.75,N95,11,0.3793103448275862,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.9,N95,19,0.6551724137931034,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.25,fixed_cap_50,4,0.13793103448275862,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.5,fixed_cap_50,8,0.27586206896551724,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.75,fixed_cap_50,14,0.4827586206896552,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.9,fixed_cap_50,25,0.8620689655172413,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.25,observed_max,4,0.14814814814814814,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.5,observed_max,8,0.2962962962962963,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.75,observed_max,14,0.5185185185185185,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.9,observed_max,24,0.8888888888888888,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.25,N95,3,0.1111111111111111,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.5,N95,6,0.2222222222222222,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.75,N95,10,0.37037037037037035,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.9,N95,18,0.6666666666666666,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.25,fixed_cap_50,4,0.14814814814814814,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.5,fixed_cap_50,8,0.2962962962962963,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.75,fixed_cap_50,14,0.5185185185185185,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.9,fixed_cap_50,24,0.8888888888888888,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.25,observed_max,3,0.06382978723404255,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.5,observed_max,6,0.1276595744680851,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.75,observed_max,11,0.23404255319148937,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.9,observed_max,20,0.425531914893617,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.25,N95,5,0.10638297872340426,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.5,N95,9,0.19148936170212766,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.75,N95,17,0.3617021276595745,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.9,N95,30,0.6382978723404256,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.25,fixed_cap_50,5,0.10638297872340426,early_stop_before_N95,False,True
Snapshot_Serengeti,gold_accuracy,0.5,fixed_cap_50,10,0.2127659574468085,early_stop_before_N95,False,True
Snapshot_Serengeti,gold_accuracy,0.75,fixed_cap_50,18,0.3829787234042553,early_stop_before_N95,False,True
Snapshot_Serengeti,gold_accuracy,0.9,fixed_cap_50,31,0.6595744680851063,early_stop_before_N95,False,True
