N,C_fit,dataset,mode,fit_family
1,0.9442930816022881,CIFAR-10H,gold_accuracy,michaelis
2,0.9647533749547956,CIFAR-10H,gold_accuracy,michaelis
3,0.9733784843100485,CIFAR-10H,gold_accuracy,michaelis
4,0.978133694510877,CIFAR-10H,gold_accuracy,michaelis
5,0.9811462833823186,CIFAR-10H,gold_accuracy,michaelis
6,0.9832258264605387,CIFAR-10H,gold_accuracy,michaelis
7,0.9847476671565666,CIFAR-10H,gold_accuracy,michaelis
8,0.985909629865892,CIFAR-10H,gold_accuracy,michaelis
9,0.9868258705213788,CIFAR-10H,gold_accuracy,michaelis
10,0.9875668804978817,CIFAR-10H,gold_accuracy,michaelis
11,0.9881785415618255,CIFAR-10H,gold_accuracy,michaelis
12,0.9886920032684818,CIFAR-10H,gold_accuracy,michaelis
13,0.9891291565531395,CIFAR-10H,gold_accuracy,michaelis
14,0.9895058357356982,CIFAR-10H,gold_accuracy,michaelis
15,0.989833777634654,CIFAR-10H,gold_accuracy,michaelis
16,0.9901218664378846,CIFAR-10H,gold_accuracy,michaelis
17,0.9903769507224311,CIFAR-10H,gold_accuracy,michaelis
18,0.9906043948852874,CIFAR-10H,gold_accuracy,michaelis
19,0.9908084605328953,CIFAR-10H,gold_accuracy,michaelis
20,0.9909925760127488,CIFAR-10H,gold_accuracy,michaelis
21,0.9911595305780242,CIFAR-10H,gold_accuracy,michaelis
22,0.9913116166770743,CIFAR-10H,gold_accuracy,michaelis
23,0.9914507358479278,CIFAR-10H,gold_accuracy,michaelis
24,0.9915784786344142,CIFAR-10H,gold_accuracy,michaelis
25,0.9916961856671331,CIFAR-10H,gold_accuracy,michaelis
26,0.9918049948925717,CIFAR-10H,gold_accuracy,michaelis
27,0.9919058784817527,CIFAR-10H,gold_accuracy,michaelis
28,0.9919996719570465,CIFAR-10H,gold_accuracy,michaelis
29,0.9920870973863453,CIFAR-10H,gold_accuracy,michaelis
30,0.9921687820080884,CIFAR-10H,gold_accuracy,michaelis
31,0.9922452733038752,CIFAR-10H,gold_accuracy,michaelis
32,0.9923170512848001,CIFAR-10H,gold_accuracy,michaelis
33,0.9923845385744586,CIFAR-10H,gold_accuracy,michaelis
34,0.9924481087362251,CIFAR-10H,gold_accuracy,michaelis
35,0.9925080931914183,CIFAR-10H,gold_accuracy,michaelis
36,0.9925647869989095,CIFAR-10H,gold_accuracy,michaelis
37,0.9926184537089451,CIFAR-10H,gold_accuracy,michaelis
38,0.9926693294596938,CIFAR-10H,gold_accuracy,michaelis
39,0.9927176264508643,CIFAR-10H,gold_accuracy,michaelis
40,0.9927635359021726,CIFAR-10H,gold_accuracy,michaelis
41,0.9928072305836408,CIFAR-10H,gold_accuracy,michaelis
42,0.9928488669883204,CIFAR-10H,gold_accuracy,michaelis
43,0.992888587205036,CIFAR-10H,gold_accuracy,michaelis
44,0.9929265205383846,CIFAR-10H,gold_accuracy,michaelis
45,0.9929627849149069,CIFAR-10H,gold_accuracy,michaelis
46,0.9929974881076533,CIFAR-10H,gold_accuracy,michaelis
47,0.9930307288059288,CIFAR-10H,gold_accuracy,michaelis
48,0.9930625975525811,CIFAR-10H,gold_accuracy,michaelis
49,0.9930931775675829,CIFAR-10H,gold_accuracy,michaelis
50,0.9931225454736783,CIFAR-10H,gold_accuracy,michaelis
