N,C_fit,dataset,mode,fit_family
1,0.9395300472881711,CIFAR-10H,reference_distribution,log_saturating
2,0.9568419235600544,CIFAR-10H,reference_distribution,log_saturating
3,0.9633462343915931,CIFAR-10H,reference_distribution,log_saturating
4,0.9668722327718062,CIFAR-10H,reference_distribution,log_saturating
5,0.9691314435991645,CIFAR-10H,reference_distribution,log_saturating
6,0.9707254340697312,CIFAR-10H,reference_distribution,log_saturating
7,0.9719228613015765,CIFAR-10H,reference_distribution,log_saturating
8,0.9728628634595058,CIFAR-10H,reference_distribution,log_saturating
9,0.9736252043980937,CIFAR-10H,reference_distribution,log_saturating
10,0.9742591353959598,CIFAR-10H,reference_distribution,log_saturating
11,0.9747968434881098,CIFAR-10H,reference_distribution,log_saturating
12,0.9752603284210664,CIFAR-10H,reference_distribution,log_saturating
13,0.9756651833115031,CIFAR-10H,reference_distribution,log_saturating
14,0.976022797417381,CIFAR-10H,reference_distribution,log_saturating
15,0.9763417022837654,CIFAR-10H,reference_distribution,log_saturating
16,0.9766284278940903,CIFAR-10H,reference_distribution,log_saturating
17,0.9768880659635215,CIFAR-10H,reference_distribution,log_saturating
18,0.9771246515206878,CIFAR-10H,reference_distribution,log_saturating
19,0.9773414280372487,CIFAR-10H,reference_distribution,log_saturating
20,0.9775410357928396,CIFAR-10H,reference_distribution,log_saturating
21,0.977725648365034,CIFAR-10H,reference_distribution,log_saturating
22,0.977897073283023,CIFAR-10H,reference_distribution,log_saturating
23,0.9780568274327455,CIFAR-10H,reference_distribution,log_saturating
24,0.9782061943555059,CIFAR-10H,reference_distribution,log_saturating
25,0.9783462683525124,CIFAR-10H,reference_distribution,log_saturating
