N,C_fit,dataset,mode,fit_family
1,0.781127576669163,ChaosNLI,reference_distribution,michaelis
2,0.8715104340050448,ChaosNLI,reference_distribution,michaelis
3,0.9079223423441948,ChaosNLI,reference_distribution,michaelis
4,0.9275905071442336,ChaosNLI,reference_distribution,michaelis
5,0.9399051455894748,ChaosNLI,reference_distribution,michaelis
6,0.9483407393683798,ChaosNLI,reference_distribution,michaelis
7,0.954480719567213,ChaosNLI,reference_distribution,michaelis
8,0.9591499251882318,ChaosNLI,reference_distribution,michaelis
9,0.9628202970831655,ChaosNLI,reference_distribution,michaelis
10,0.9657813714336877,ChaosNLI,reference_distribution,michaelis
11,0.9682206390807583,ChaosNLI,reference_distribution,michaelis
12,0.9702648617190237,ChaosNLI,reference_distribution,michaelis
13,0.9720028180623844,ChaosNLI,reference_distribution,michaelis
14,0.9734985389637438,ChaosNLI,reference_distribution,michaelis
15,0.9747993689672112,ChaosNLI,reference_distribution,michaelis
16,0.9759410693685926,ChaosNLI,reference_distribution,michaelis
17,0.9769511564590724,ChaosNLI,reference_distribution,michaelis
18,0.9778511482043325,ChaosNLI,reference_distribution,michaelis
19,0.9786581142543257,ChaosNLI,reference_distribution,michaelis
20,0.9793857689323289,ChaosNLI,reference_distribution,michaelis
21,0.9800452570509416,ChaosNLI,reference_distribution,michaelis
22,0.9806457287643059,ChaosNLI,reference_distribution,michaelis
23,0.9811947667023598,ChaosNLI,reference_distribution,michaelis
24,0.9816987078534446,ChaosNLI,reference_distribution,michaelis
25,0.9821628892596201,ChaosNLI,reference_distribution,michaelis
26,0.9825918377647251,ChaosNLI,reference_distribution,michaelis
27,0.982989418134762,ChaosNLI,reference_distribution,michaelis
28,0.9833589498292968,ChaosNLI,reference_distribution,michaelis
29,0.9837032999008043,ChaosNLI,reference_distribution,michaelis
30,0.9840249575279963,ChaosNLI,reference_distribution,michaelis
31,0.9843260942840867,ChaosNLI,reference_distribution,michaelis
32,0.9846086132267784,ChaosNLI,reference_distribution,michaelis
33,0.9848741891562895,ChaosNLI,reference_distribution,michaelis
34,0.985124301841267,ChaosNLI,reference_distribution,michaelis
35,0.9853602636051169,ChaosNLI,reference_distribution,michaelis
36,0.985583242358796,ChaosNLI,reference_distribution,michaelis
37,0.985794280933489,ChaosNLI,reference_distribution,michaelis
38,0.9859943133885617,ChaosNLI,reference_distribution,michaelis
39,0.9861841788328726,ChaosNLI,reference_distribution,michaelis
40,0.9863646331908331,ChaosNLI,reference_distribution,michaelis
41,0.9865363592611542,ChaosNLI,reference_distribution,michaelis
42,0.9866999753504806,ChaosNLI,reference_distribution,michaelis
43,0.986856042712039,ChaosNLI,reference_distribution,michaelis
44,0.9870050719779156,ChaosNLI,reference_distribution,michaelis
45,0.9871475287403032,ChaosNLI,reference_distribution,michaelis
46,0.9872838384102445,ChaosNLI,reference_distribution,michaelis
47,0.9874143904606871,ChaosNLI,reference_distribution,michaelis
48,0.9875395421429898,ChaosNLI,reference_distribution,michaelis
49,0.9876596217515651,ChaosNLI,reference_distribution,michaelis
50,0.9877749314994847,ChaosNLI,reference_distribution,michaelis
