N,C_fit,dataset,mode,fit_family
1,0.6579347328727385,Snapshot_Serengeti,gold_accuracy,michaelis
2,0.7870360981832173,Snapshot_Serengeti,gold_accuracy,michaelis
3,0.8421167501936521,Snapshot_Serengeti,gold_accuracy,michaelis
4,0.8726530226580523,Snapshot_Serengeti,gold_accuracy,michaelis
5,0.892061422245209,Snapshot_Serengeti,gold_accuracy,michaelis
6,0.9054871915396486,Snapshot_Serengeti,gold_accuracy,michaelis
7,0.9153271377537718,Snapshot_Serengeti,gold_accuracy,michaelis
8,0.9228485974560116,Snapshot_Serengeti,gold_accuracy,michaelis
9,0.9287846309850976,Snapshot_Serengeti,gold_accuracy,michaelis
10,0.9335887247336692,Snapshot_Serengeti,gold_accuracy,michaelis
11,0.937556469364498,Snapshot_Serengeti,gold_accuracy,michaelis
12,0.9408887775286303,Snapshot_Serengeti,gold_accuracy,michaelis
13,0.9437269803433824,Snapshot_Serengeti,gold_accuracy,michaelis
14,0.9461733894115572,Snapshot_Serengeti,gold_accuracy,michaelis
15,0.9483038933108083,Snapshot_Serengeti,gold_accuracy,michaelis
16,0.950175970277109,Snapshot_Serengeti,gold_accuracy,michaelis
17,0.9518339518366183,Snapshot_Serengeti,gold_accuracy,michaelis
18,0.9533125782287292,Snapshot_Serengeti,gold_accuracy,michaelis
19,0.9546394591931877,Snapshot_Serengeti,gold_accuracy,michaelis
20,0.9558368141137736,Snapshot_Serengeti,gold_accuracy,michaelis
21,0.9569227262749389,Snapshot_Serengeti,gold_accuracy,michaelis
22,0.957912062475247,Snapshot_Serengeti,gold_accuracy,michaelis
23,0.9588171577284313,Snapshot_Serengeti,gold_accuracy,michaelis
24,0.9596483322021037,Snapshot_Serengeti,gold_accuracy,michaelis
25,0.9604142864677503,Snapshot_Serengeti,gold_accuracy,michaelis
26,0.9611224072204653,Snapshot_Serengeti,gold_accuracy,michaelis
27,0.9617790062676833,Snapshot_Serengeti,gold_accuracy,michaelis
28,0.9623895091837429,Snapshot_Serengeti,gold_accuracy,michaelis
29,0.9629586055787396,Snapshot_Serengeti,gold_accuracy,michaelis
30,0.9634903697949013,Snapshot_Serengeti,gold_accuracy,michaelis
