dataset,mode,role,lambda,n_budget_type,n_budget,n_star,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.01,observed_max,50.0,1,,,N95,22.0,0.045454545454545456,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.014924623115577889,observed_max,50.0,1,,,N95,22.0,0.045454545454545456,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.01984924623115578,observed_max,50.0,1,,,N95,22.0,0.045454545454545456,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.024773869346733667,observed_max,50.0,1,,,N95,22.0,0.045454545454545456,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.029698492462311557,observed_max,50.0,1,,,N95,22.0,0.045454545454545456,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.03462311557788945,observed_max,50.0,1,,,N95,22.0,0.045454545454545456,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.03954773869346734,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.04447236180904523,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.04939698492462312,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.05432160804020101,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.0592462311557789,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.06417085427135678,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.06909547738693467,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.07402010050251256,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.07894472361809045,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.08386934673366835,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.08879396984924623,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.09371859296482411,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.09864321608040201,observed_max,50.0,2,,,N95,22.0,0.09090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.1035678391959799,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.10849246231155779,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.11341708542713567,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.11834170854271357,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.12326633165829146,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.12819095477386935,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.13311557788944725,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.13804020100502515,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.14296482412060302,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.14788944723618092,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.1528140703517588,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.1577386934673367,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.16266331658291458,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.16758793969849248,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.17251256281407037,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.17743718592964824,observed_max,50.0,3,,,N95,22.0,0.13636363636363635,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.18236180904522614,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.18728643216080404,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.19221105527638194,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.1971356783919598,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2020603015075377,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2069849246231156,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.21190954773869347,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.21683417085427137,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.22175879396984927,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.22668341708542716,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.23160804020100503,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.23653266331658293,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.24145728643216083,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2463819095477387,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2513065326633166,observed_max,50.0,4,4.0,4.0,N95,22.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2562311557788945,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2611557788944724,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2660804020100503,observed_max,50.0,4,,,N95,22.0,0.18181818181818182,,,True,True,False
