dataset,mode,lambda,n_budget_type,n_star,ratio,conclusion,conclusion_changed_from_primary,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,0.25,observed_max,4,0.18181818181818182,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.5,observed_max,7,0.3181818181818182,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.75,observed_max,13,0.5909090909090909,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.9,observed_max,23,1.0454545454545454,not_early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.25,N95,3,0.13636363636363635,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.5,N95,5,0.22727272727272727,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.75,N95,9,0.4090909090909091,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.9,N95,15,0.6818181818181818,early_stop_before_N95,True,False
CIFAR-10H,gold_accuracy,0.25,fixed_cap_50,4,0.18181818181818182,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.5,fixed_cap_50,7,0.3181818181818182,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.75,fixed_cap_50,13,0.5909090909090909,early_stop_before_N95,False,False
CIFAR-10H,gold_accuracy,0.9,fixed_cap_50,23,1.0454545454545454,not_early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.25,observed_max,5,0.18518518518518517,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.5,observed_max,8,0.2962962962962963,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.75,observed_max,14,0.5185185185185185,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.9,observed_max,25,0.9259259259259259,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.25,N95,3,0.1111111111111111,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.5,N95,6,0.2222222222222222,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.75,N95,10,0.37037037037037035,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.9,N95,18,0.6666666666666666,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.25,fixed_cap_50,5,0.18518518518518517,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.5,fixed_cap_50,8,0.2962962962962963,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.75,fixed_cap_50,14,0.5185185185185185,early_stop_before_N95,False,False
ChaosNLI,reference_distribution,0.9,fixed_cap_50,25,0.9259259259259259,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.25,observed_max,3,0.1,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.5,observed_max,5,0.16666666666666666,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.75,observed_max,9,0.3,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.9,observed_max,17,0.5666666666666667,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.25,N95,4,0.13333333333333333,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.5,N95,6,0.2,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.75,N95,11,0.36666666666666664,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.9,N95,20,0.6666666666666666,early_stop_before_N95,False,False
Snapshot_Serengeti,gold_accuracy,0.25,fixed_cap_50,5,0.16666666666666666,early_stop_before_N95,False,True
Snapshot_Serengeti,gold_accuracy,0.5,fixed_cap_50,8,0.26666666666666666,early_stop_before_N95,False,True
Snapshot_Serengeti,gold_accuracy,0.75,fixed_cap_50,15,0.5,early_stop_before_N95,False,True
Snapshot_Serengeti,gold_accuracy,0.9,fixed_cap_50,26,0.8666666666666667,early_stop_before_N95,False,True
