dataset,mode,role,lambda,n_budget_type,n_budget,eta,n_max,n_star,n_star_unconstrained,capacity_binds,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.01,observed_max,50.0,1.98,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.014924623115577889,observed_max,50.0,1.3200673400673402,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.01984924623115578,observed_max,50.0,0.9875949367088607,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.024773869346733667,observed_max,50.0,0.7873022312373226,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.029698492462311557,observed_max,50.0,0.6534348561759729,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.03462311557788945,observed_max,50.0,0.5576487663280115,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.03954773869346734,observed_max,50.0,0.48571791613723003,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.04447236180904523,observed_max,50.0,0.42971751412429376,50,1,1,False,,,N95,29.0,0.034482758620689655,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.04939698492462312,observed_max,50.0,0.384883011190234,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.05432160804020101,observed_max,50.0,0.34817761332099906,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.0592462311557789,observed_max,50.0,0.31757421543681086,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.06417085427135678,observed_max,50.0,0.2916679718089272,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.06909547738693467,observed_max,50.0,0.26945454545454545,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.07402010050251256,observed_max,50.0,0.2501968771215207,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.07894472361809045,observed_max,50.0,0.23334182049649907,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.08386934673366835,observed_max,50.0,0.2184661473936489,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.08879396984924623,observed_max,50.0,0.2052405206564799,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.09371859296482411,observed_max,50.0,0.19340482573726545,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.09864321608040201,observed_max,50.0,0.18275089149261334,50,2,2,False,,,N95,29.0,0.06896551724137931,,,True,False,False
