bootstrap,N,C
0,2,0.9527
0,3,0.9792
0,4,0.9822
0,5,0.984
0,6,0.9848
0,7,0.9866
0,8,0.9877
0,9,0.9881
0,10,0.988
0,11,0.9886
0,12,0.9886
0,13,0.9882
0,14,0.9885
0,15,0.9888
0,16,0.9904
0,17,0.9904
0,18,0.9907
0,19,0.9908
0,20,0.9909
0,21,0.9905
0,22,0.991
0,23,0.9904
0,24,0.9915
0,25,0.9905
0,26,0.9915
0,27,0.991
0,28,0.9913
0,29,0.9918
0,30,0.9919
0,31,0.9916
0,32,0.9914
0,33,0.9914
0,34,0.9915
0,35,0.9913
0,36,0.9918
0,37,0.9921
0,38,0.9924
0,39,0.9914
0,40,0.9917
0,41,0.9915
0,42,0.9917
0,43,0.9913
0,44,0.9916
0,45,0.9917
0,46,0.9919
0,47,0.9918
0,48,0.9915
0,49,0.9912
0,50,0.9915
1,2,0.955
1,3,0.9798
1,4,0.9847
1,5,0.9871
1,6,0.9875
1,7,0.9881
1,8,0.989
1,9,0.9904
1,10,0.9901
1,11,0.9905
1,12,0.991
1,13,0.9908
1,14,0.9912
1,15,0.9911
1,16,0.9917
1,17,0.9915
1,18,0.9918
1,19,0.9923
1,20,0.9917
1,21,0.9921
1,22,0.9924
1,23,0.9923
1,24,0.992
1,25,0.9917
1,26,0.9919
1,27,0.9923
1,28,0.9922
1,29,0.9916
1,30,0.9919
1,31,0.9922
1,32,0.9923
1,33,0.9922
1,34,0.992
1,35,0.9917
1,36,0.9922
1,37,0.9923
1,38,0.9923
1,39,0.9922
1,40,0.9924
1,41,0.9922
1,42,0.9923
1,43,0.9923
1,44,0.9921
1,45,0.9921
1,46,0.9921
1,47,0.9923
1,48,0.9925
1,49,0.9922
1,50,0.992
2,2,0.9582
2,3,0.9796
2,4,0.9831
2,5,0.9844
2,6,0.9858
2,7,0.988
2,8,0.9879
2,9,0.989
2,10,0.9887
2,11,0.9892
2,12,0.9895
2,13,0.9901
2,14,0.9902
2,15,0.9907
2,16,0.9905
2,17,0.9913
2,18,0.9914
2,19,0.9913
2,20,0.9912
2,21,0.9915
2,22,0.9913
2,23,0.9908
2,24,0.9913
2,25,0.9909
2,26,0.9917
2,27,0.9916
2,28,0.9915
2,29,0.9916
2,30,0.9913
2,31,0.9915
2,32,0.9917
2,33,0.992
2,34,0.9918
2,35,0.9917
2,36,0.9918
2,37,0.9912
2,38,0.9916
2,39,0.9916
2,40,0.9915
2,41,0.9914
2,42,0.9916
2,43,0.9916
2,44,0.9919
2,45,0.9916
2,46,0.9918
2,47,0.9919
2,48,0.992
2,49,0.9918
2,50,0.9921
3,2,0.95
3,3,0.9803
3,4,0.982
3,5,0.9856
3,6,0.987
3,7,0.9876
3,8,0.9881
3,9,0.9899
3,10,0.9902
3,11,0.9899
3,12,0.9911
3,13,0.9911
3,14,0.9913
3,15,0.991
3,16,0.9914
3,17,0.9911
3,18,0.9906
3,19,0.9912
3,20,0.9908
3,21,0.9905
3,22,0.9902
3,23,0.9915
3,24,0.9914
3,25,0.9914
3,26,0.9914
3,27,0.9913
3,28,0.9914
3,29,0.9916
3,30,0.9911
3,31,0.9908
3,32,0.9909
