N,C_mean,C_lo,C_hi,valid
2,0.9540295000000001,0.9479875,0.9588075,200
3,0.9787269999999999,0.975595,0.9818075,200
4,0.98251,0.9792,0.9856075000000001,200
5,0.985267,0.9820975,0.987805,200
6,0.9867135,0.9843975,0.9896050000000001,200
7,0.9877195000000001,0.9853975,0.990205,200
8,0.9884529999999999,0.9862,0.9910025,200
9,0.9890325,0.9867,0.991405,200
10,0.989495,0.9868,0.9917125,200
11,0.9897880000000001,0.9875,0.9920075,200
12,0.9901449999999999,0.9879975,0.9922124999999999,200
13,0.9903350000000001,0.9881975,0.9925025000000001,200
14,0.9905265,0.9880975,0.9925,200
15,0.9906165,0.9885975,0.9924025,200
16,0.9908239999999999,0.9886,0.9928025,200
17,0.9908674999999999,0.9887925,0.9928025,200
18,0.991077,0.9888975,0.9928025,200
19,0.9911525,0.989,0.993,200
20,0.9912765,0.9892974999999999,0.9931025,200
21,0.9913245,0.9893,0.9933025,200
22,0.9914749999999999,0.9896,0.9934,200
23,0.991456,0.9895,0.9932025,200
24,0.9915550000000001,0.9894925,0.9935,200
25,0.9915675,0.9894975,0.9934,200
26,0.991688,0.9897,0.9935025000000001,200
27,0.9916735,0.989895,0.9935025000000001,200
28,0.9918015,0.99,0.9936,200
29,0.9918245,0.9899,0.9937,200
30,0.991899,0.99,0.9935025000000001,200
31,0.9918944999999999,0.9900975,0.9937025,200
32,0.9920405,0.9901975,0.9937050000000001,200
33,0.9919795,0.9901975,0.9937050000000001,200
34,0.992035,0.9903949999999999,0.9938025,200
35,0.9919995,0.9903974999999999,0.9938025,200
36,0.992122,0.9904,0.9936025,200
37,0.9921070000000001,0.9903974999999999,0.9939,200
38,0.992162,0.9905925,0.9939,200
39,0.9921254999999999,0.9903,0.9939025,200
40,0.992211,0.9903,0.994,200
41,0.9921965,0.9903,0.9939,200
42,0.992259,0.9906,0.9937,200
43,0.9922270000000001,0.9903974999999999,0.9937,200
44,0.9922745000000001,0.9904,0.9938,200
45,0.9922335,0.990495,0.9938,200
46,0.9922839999999999,0.9905,0.9938,200
47,0.9922475,0.9903974999999999,0.9936025,200
48,0.9922735,0.9902974999999999,0.9938,200
49,0.9922725,0.9905975,0.9938,200
50,0.9923274999999999,0.990595,0.9938,200
