bootstrap,N,C
0,2,0.9575420594939918
0,3,0.9635556866703644
0,4,0.9664343082176365
0,5,0.968950464329232
0,6,0.9700644206343343
0,7,0.9710765843716829
0,8,0.9721681875425007
0,9,0.9729894502483496
0,10,0.9737933172303926
0,11,0.9741298031417076
0,12,0.9746620532400453
0,13,0.9752172173027204
0,14,0.9756722414341681
0,15,0.9759444715143746
0,16,0.9763661183067582
0,17,0.9766986932437037
0,18,0.9770534909995189
0,19,0.9775575800114115
0,20,0.9778345851584805
0,21,0.9781674999517199
0,22,0.9783341113398927
0,23,0.9784306641867108
0,24,0.9786902412352567
0,25,0.978897917657954
1,2,0.9566315046314261
1,3,0.9625247216587872
1,4,0.9665614432537563
1,5,0.9691494454958818
1,6,0.9704626818103832
1,7,0.9715616515067395
1,8,0.972499209802288
1,9,0.9733949217714327
1,10,0.9738762979651732
1,11,0.9744197755415603
1,12,0.9748290057618793
1,13,0.9752730185855174
1,14,0.9757770490135714
1,15,0.9761811599608582
1,16,0.9763596106345204
1,17,0.9767034251426175
1,18,0.9769074846117508
1,19,0.9770330672164944
1,20,0.9773012404629948
1,21,0.9776145986501826
1,22,0.9777449440212828
1,23,0.9780166808662565
1,24,0.9782229081874239
1,25,0.9783811663433304
2,2,0.9581076894004235
2,3,0.9635942030791328
2,4,0.9670278267655791
2,5,0.9692140101025448
2,6,0.9705310297510031
2,7,0.9718117557772071
2,8,0.97269904945905
2,9,0.9733830991846985
2,10,0.9740389561837788
2,11,0.9748202983009713
2,12,0.9753712693145431
2,13,0.9757577760516553
2,14,0.9761745356097312
2,15,0.9765820844681726
2,16,0.9767929773391337
2,17,0.9769813131036373
2,18,0.9773070774370797
2,19,0.9774977856945348
2,20,0.9776066303225767
2,21,0.9777561443078242
2,22,0.9779812655472683
2,23,0.9781879517510123
2,24,0.9783106754715882
2,25,0.978406527446148
3,2,0.9592197073008764
3,3,0.9636617122387221
3,4,0.9669671863719707
3,5,0.9691854708974097
3,6,0.9706489696269378
3,7,0.9716973869707941
3,8,0.9727877806139029
3,9,0.973516709468799
3,10,0.9741874910181528
3,11,0.9747019670489997
3,12,0.9749393742173493
3,13,0.9754130060411144
3,14,0.975664730281782
3,15,0.9759821252611637
3,16,0.9762941673741956
3,17,0.9765859036310257
