N,C_mean,C_lo,C_hi,valid
2,0.9578740763873438,0.9553095121601759,0.9603357282323125,200
3,0.9635289904080079,0.9616902357829674,0.9654541682104822,200
4,0.9667601371814136,0.9653716124803726,0.9682127431628518,200
5,0.9688235242112456,0.9675800008568769,0.9700861453868659,200
6,0.9703488070922431,0.969059908902232,0.9715814301188869,200
7,0.9715559917990696,0.9704504933356219,0.9727206853842659,200
8,0.9725170399036331,0.9715344730907691,0.9735609069220739,200
9,0.97333583753593,0.972454979806438,0.9742878762945943,200
10,0.9740240963209628,0.9731541149533608,0.9749646777206082,200
11,0.9746131577271808,0.9737932975444914,0.9754678032327844,200
12,0.975124607903177,0.97431999954598,0.9758941083019254,200
13,0.9755747850139153,0.9748285825850358,0.9763444254570418,200
14,0.975971419374927,0.9752958882804295,0.9766791460841019,200
15,0.976330117351653,0.9756814572753146,0.9770581126858743,200
16,0.9766513100206633,0.9760379418887354,0.9772742174597272,200
17,0.9769463707220974,0.9763584416452115,0.9775825684930644,200
18,0.9772186453981369,0.9766218684342095,0.9778402569975967,200
19,0.9774763893771912,0.9769058605620984,0.9780432752841551,200
20,0.9776990230567386,0.9771559804355072,0.9782333333559474,200
21,0.9779089832383615,0.9773420127898037,0.9784752580243694,200
22,0.9781018854992278,0.9775317980548471,0.9786690205432194,200
23,0.978280989241637,0.9777220651900136,0.9788502424677558,200
24,0.9784427180524379,0.9779198609728268,0.9789799154258813,200
25,0.9785969129152114,0.9780951306912282,0.9791016380941299,200
