bootstrap,N,C
0,2,0.8700170223318252
0,3,0.9061479409260433
0,4,0.9271464760243758
0,5,0.9393217398095636
0,6,0.9483682744195215
0,7,0.9553636294463682
0,8,0.9598262183116211
0,9,0.9639401992076037
0,10,0.9668737506982992
0,11,0.9694589445118925
0,12,0.9714514679857115
0,13,0.9728817364265699
0,14,0.9744004412659288
0,15,0.9754443589780851
0,16,0.9761550736674182
0,17,0.9768196012023549
0,18,0.9777129725416029
0,19,0.9785759151891059
0,20,0.9792826141475415
0,21,0.9797405611069299
0,22,0.9804567641582809
0,23,0.9809586561271914
0,24,0.9816286183549386
0,25,0.982131873894815
0,26,0.9827328248708783
0,27,0.9829667545922595
0,28,0.9832767427973466
0,29,0.9836225084344596
0,30,0.9840022823581038
0,31,0.9843656714381533
0,32,0.984602237362241
0,33,0.9849505568584819
0,34,0.9850534988075162
0,35,0.985286257153277
0,36,0.9855595884046991
0,37,0.9857997942136356
0,38,0.9860258529564848
0,39,0.9862143588015901
0,40,0.9865037178321755
0,41,0.9866937096579296
0,42,0.9869065160130753
0,43,0.9870365379103339
0,44,0.9871254992394327
0,45,0.9873031424525306
0,46,0.9874024400552851
0,47,0.9875399685233662
0,48,0.9877701929957512
0,49,0.987884697894433
0,50,0.9879864972961167
1,2,0.8727319190622813
1,3,0.9077879727347554
1,4,0.9276975219689181
1,5,0.939388745549675
1,6,0.9476352063982673
1,7,0.9541729711221573
1,8,0.959140315786958
1,9,0.9629030230374163
1,10,0.9663022253867976
1,11,0.9689842969113847
1,12,0.9707912419002901
1,13,0.9725387916760914
1,14,0.9739118273221363
1,15,0.9750847494624951
1,16,0.9760892604540448
1,17,0.9771366964663621
1,18,0.9782218946753307
1,19,0.9791728895925035
1,20,0.9798401558057415
1,21,0.9805710865412254
1,22,0.9810884966736224
1,23,0.9815401168622235
1,24,0.981996763742679
1,25,0.9826412595315894
1,26,0.9831097767004305
1,27,0.9835197530398923
1,28,0.9838000195018977
1,29,0.9842079769253764
1,30,0.9844946196337564
1,31,0.9847629515848552
1,32,0.9850051562269276
1,33,0.9852668402127823
1,34,0.9855650905289917
1,35,0.9858220487571676
1,36,0.986051688574968
1,37,0.9862482962069711
1,38,0.986581556655701
1,39,0.9867485308667596
1,40,0.9869270371293801
1,41,0.9870687988711881
1,42,0.987182736294803
1,43,0.9873354391971685
1,44,0.9874659714710674
1,45,0.9875785250386303
1,46,0.9877856785719423
1,47,0.9879572565415548
1,48,0.9881238155897133
1,49,0.9882310879441033
1,50,0.9883523458490447
2,2,0.8695408860674267
2,3,0.9083408854064777
2,4,0.9298016940294355
2,5,0.9419182566772177
2,6,0.9490552446756488
2,7,0.9547496858739762
2,8,0.9594390215713263
2,9,0.9631351545798018
2,10,0.9657848577548322
2,11,0.9678368970790445
2,12,0.9699719080448319
2,13,0.9713460708227045
2,14,0.9731030295268915
2,15,0.9742384411862125
2,16,0.9756467838013927
2,17,0.9764589565837789
2,18,0.9772621669978004
2,19,0.9781946732304645
2,20,0.9792040735036781
2,21,0.9797846571875012
2,22,0.9805983872285857
2,23,0.9812006266697886
2,24,0.9817600062568673
2,25,0.9821320060009241
2,26,0.9825885370030428
2,27,0.9828497129835365
2,28,0.9832411826959775
2,29,0.9836235884995416
2,30,0.9838562412220642
2,31,0.9842923277970147
2,32,0.9845929987366625
2,33,0.9848351649214472
2,34,0.9850601251820368
2,35,0.9852562374341044
2,36,0.9854934276893744
2,37,0.9857049582310697
2,38,0.9860033501833695
2,39,0.9862419923353735
2,40,0.9864301607129454
2,41,0.9866158611955849
2,42,0.9868581049735273
2,43,0.9870503846117014
2,44,0.9871976239663963
2,45,0.9873501943062344
2,46,0.9875037463978118
2,47,0.9876409442890237
2,48,0.9878272059880022
2,49,0.9879314059870911
2,50,0.9881211745387791
3,2,0.8732736234875361
3,3,0.9070378188069774
3,4,0.9261980887170201
3,5,0.9400598691676799
3,6,0.9486329032777574
3,7,0.9547663109216176
3,8,0.9595173215135454
3,9,0.9628851443901076
3,10,0.9658107358828225
3,11,0.9683180239077303
3,12,0.9703910243011774
3,13,0.9719442051136189
3,14,0.9735099812076906
3,15,0.9747876093184743
3,16,0.9757967898386702
3,17,0.9770376949395669
3,18,0.9779299933509819
3,19,0.9785779232931462
3,20,0.979139025558909
3,21,0.9798151559216247
3,22,0.9803802481333751
3,23,0.980962564568551
3,24,0.9816209410216922
3,25,0.9819878035932414
3,26,0.9824344332517858
3,27,0.9829059500052567
3,28,0.9832182730548247
3,29,0.9836032565471747
3,30,0.9839620115522147
3,31,0.9843513516358815
3,32,0.9846229479349448
3,33,0.9848351731697961
3,34,0.9850612145068198
3,35,0.9853241648359824
3,36,0.985469361539915
3,37,0.985649574042067
3,38,0.985915380975053
3,39,0.9861185743554747
3,40,0.9862718168639698
3,41,0.9864076021025019
3,42,0.9864985980490757
3,43,0.9867017935377386
3,44,0.9868144540912869
3,45,0.9869786762242962
3,46,0.9871964110763488
3,47,0.9872884720430348
3,48,0.987435117719425
3,49,0.9876053855722581
3,50,0.9877468771010258
4,2,0.8707267345598836
4,3,0.9075977900838987
4,4,0.9281493177370863
4,5,0.941677524788338
4,6,0.9494855132327413
4,7,0.9553379552599957
4,8,0.9597215319023737
4,9,0.9634661320380803
4,10,0.96698124455924
4,11,0.9693278520596336
4,12,0.9712914330468383
4,13,0.973178164822798
4,14,0.9744772561506788
4,15,0.975893933128755
4,16,0.9770061843192244
4,17,0.9778335295813352
4,18,0.9786668989390533
4,19,0.9792994532705978
4,20,0.9798725592450608
4,21,0.9804736905248612
4,22,0.9810135131488426
4,23,0.981609117114077
4,24,0.982173267310186
4,25,0.9825327715559082
4,26,0.9829862036334742
4,27,0.9835257079455931
4,28,0.9839133276156251
4,29,0.9841656658864414
4,30,0.9844067655347785
4,31,0.9845986762123597
4,32,0.9848904973646814
4,33,0.9851472724511497
4,34,0.9854896274307082
4,35,0.985722323770796
4,36,0.9859664603786734
4,37,0.9860477832220871
4,38,0.9862309788412521
4,39,0.9863671373718833
4,40,0.9866202343343233
4,41,0.9867210793857726
4,42,0.986957910066145
4,43,0.9871064974984959
4,44,0.9872594013218917
4,45,0.9874956756659438
4,46,0.9876240793077546
4,47,0.987834581473448
4,48,0.9878470369979591
4,49,0.9879571854876884
4,50,0.9880603511045194
5,2,0.8674665939861949
5,3,0.9090701833806697
5,4,0.9282027351933779
5,5,0.940060996923143
5,6,0.9489048731491856
5,7,0.9548399492556807
5,8,0.9595320231895976
5,9,0.9629692651820463
5,10,0.9663467315864738
5,11,0.9690177017187909
5,12,0.9709793398904955
5,13,0.9725602869280301
5,14,0.9737889116553063
5,15,0.9751377710448254
5,16,0.9761516245517603
5,17,0.9772835467891385
5,18,0.9783827172068624
5,19,0.9791529067190704
5,20,0.9798162464177012
5,21,0.9804153701530015
5,22,0.980744397430845
5,23,0.9814467182428867
5,24,0.9819601317083885
5,25,0.9825783718664614
5,26,0.9829252290990454
5,27,0.9832343473457255
5,28,0.9836873346994415
5,29,0.9840418048883215
5,30,0.9843975656447294
5,31,0.9845710800099626
5,32,0.9847756821414507
5,33,0.985040404813988
5,34,0.985202047844722
5,35,0.9854841373923506
5,36,0.9856479861580216
5,37,0.9858826384112765
5,38,0.9860763487648582
5,39,0.9862550553509131
5,40,0.9863977370288867
5,41,0.9865703519655309
5,42,0.986788786519961
5,43,0.986983908907774
