N,C_mean,C_lo,C_hi,valid
2,0.8715079046374362,0.8663409487520749,0.8775664544825176,200
3,0.9078890467318881,0.9041712400259087,0.9123575733825149,200
4,0.9276152531492269,0.9243658074407717,0.9307111993517665,200
5,0.9399276963217414,0.9369392502969005,0.9422825557984764,200
6,0.9483757421562083,0.9462342806206403,0.9502593778856695,200
7,0.954506131218456,0.9524027978777863,0.9563293518761588,200
8,0.9591696104789008,0.9569813258781793,0.9609156954053767,200
9,0.9628527133175507,0.9610819699878657,0.9642895193628926,200
10,0.9657908602732409,0.9640510267125345,0.9672142565087952,200
11,0.9682153754821491,0.9666351077581189,0.9694485452337973,200
12,0.9702831250876541,0.9687939397281182,0.9714102337374559,200
13,0.9720165845847112,0.9708136588023544,0.9731294326063399,200
14,0.9734944522528022,0.9724512760834241,0.974477468015416,200
15,0.9747796907484845,0.9736245854464688,0.9757006568293987,200
16,0.9758950907570558,0.974876616225715,0.9767807583054667,200
17,0.9769018342090595,0.975923087537461,0.977834155869988,200
18,0.9778156255499263,0.9767648769634862,0.9786703371410459,200
19,0.9786174990220515,0.9777776837773308,0.9794337322461222,200
20,0.979348646900833,0.9785871602104659,0.9801569408640319,200
21,0.9799946823761928,0.9791740150982068,0.9808065682924985,200
22,0.9805962193074294,0.9798361982739787,0.9813624582842886,200
23,0.9811425757910962,0.9803686898418672,0.9818992521070719,200
24,0.9816554683864968,0.9809004020306181,0.9823698286884897,200
25,0.9821356485718189,0.9813812221733312,0.9828342397007787,200
26,0.9825743090070534,0.981886270360847,0.9833032327087801,200
27,0.9829760952713522,0.9823342462279282,0.98366276211475,200
28,0.9833482550314817,0.9827093215187507,0.9840235229469699,200
29,0.9836941662475457,0.983057818464167,0.9843592104837298,200
30,0.9840210378671205,0.9834226334435752,0.9846339982033951,200
31,0.984319416616922,0.9837619325949778,0.9849336075397969,200
32,0.9846031510524079,0.9840344917086836,0.9852020101846033,200
33,0.9848778758671276,0.9843348326557632,0.9854772609624879,200
34,0.9851311910466614,0.9845904780901671,0.9857111912060137,200
35,0.9853762809582152,0.9848681762595483,0.9859709442699113,200
36,0.9855965180215245,0.9850441252627071,0.9861877530105577,200
37,0.9858039120323057,0.9852439182625035,0.986390182685336,200
38,0.9860109029326413,0.9854004339084589,0.9865756154748945,200
39,0.9862045312086873,0.9855831055573788,0.9867845208842408,200
40,0.9863886799803173,0.9857753881556236,0.9869878509409323,200
41,0.9865573564677267,0.9860073954550483,0.9871646358799548,200
42,0.9867218711188679,0.9861561488528248,0.9873175627599283,200
43,0.9868812150688805,0.9862925915472281,0.987435948858121,200
44,0.9870316561565724,0.9864449237796635,0.9876238339893297,200
45,0.9871733794170499,0.9865876527017684,0.987727252045621,200
46,0.9873096248446112,0.9867543984556673,0.9878864535758417,200
47,0.9874391266653322,0.9868929301010393,0.9879986998541739,200
48,0.9875639687007762,0.98707451606008,0.9881238266475211,200
49,0.9876842641099643,0.9871876322293778,0.9882552496651706,200
50,0.9878059148191457,0.9873326898426943,0.9883611413461462,200
