bootstrap,N,C
0,2,0.7290291024700416
0,3,0.8630471998043532
0,4,0.8789435069699193
0,5,0.9043775984348251
0,6,0.9078014184397163
0,7,0.9222303741746148
0,8,0.929811689899731
0,9,0.9322572756175104
0,10,0.9361702127659575
0,11,0.9415362035225049
0,12,0.940787863958894
0,13,0.9432711198428291
0,14,0.9439066765946885
0,15,0.9452398894750063
0,16,0.9423224814150218
0,17,0.9450462351387054
0,18,0.9431318681318681
0,19,0.9425617461229179
0,20,0.9402714932126697
0,21,0.9387168847749761
1,2,0.75177304964539
1,3,0.8769870383956958
1,4,0.8906823184152605
1,5,0.9146490584494986
1,6,0.9192956713132795
1,7,0.9303008070432869
1,8,0.9295671313279531
1,9,0.9388603570555148
1,10,0.938126681340181
1,11,0.9398238747553816
1,12,0.9416952474277315
1,13,0.9441711756025578
1,14,0.944831013916501
1,15,0.9450466347365768
1,16,0.9446313065976714
1,17,0.9454015372382719
1,18,0.9430624654505252
1,19,0.9451575262543758
1,20,0.9431572443620636
1,21,0.9483262918427039
2,2,0.7370995353387136
2,3,0.8650036683785767
2,4,0.8723404255319149
2,5,0.900953778429934
2,6,0.9024211298606016
2,7,0.9100024455857177
2,8,0.9144044998777208
2,9,0.9249205184641721
2,10,0.9229640498899486
2,11,0.9283092733056031
2,12,0.9338883447600391
2,13,0.9350012263919548
2,14,0.9352606869285891
2,15,0.9396141317965422
2,16,0.9361865709892363
2,17,0.9405888538380652
2,18,0.9349972572682391
2,19,0.9365124964090779
2,20,0.9326864766525167
2,21,0.93472
3,2,0.7476155539251651
3,3,0.8708730741012473
3,4,0.880166299828809
3,5,0.9063340670090486
3,6,0.9109806798728295
3,7,0.9290780141843972
3,8,0.9276106627537295
3,9,0.9327463927610663
3,10,0.9325018341892883
3,11,0.9388454011741683
3,12,0.9412628487518355
3,13,0.9427940093297323
3,14,0.943069306930693
3,15,0.9454454454454454
3,16,0.9481083844580777
3,17,0.9472579375491997
3,18,0.9458128078817734
3,19,0.9480780263912794
3,20,0.9455761629674673
3,21,0.942792501616031
4,2,0.7549523110785032
4,3,0.8757642455368061
4,4,0.8831010026901442
4,5,0.9129371484470531
4,6,0.917583761310834
4,7,0.9283443384690634
4,8,0.9344583027635118
4,9,0.9393494741990707
4,10,0.938126681340181
4,11,0.9391049156272927
4,12,0.9380660954712362
4,13,0.9396022587773141
4,14,0.9415841584158415
4,15,0.9457771114442779
4,16,0.9448557569568548
4,17,0.9472171413639927
4,18,0.9440673364105349
4,19,0.9452054794520548
4,20,0.9424805272618334
4,21,0.9469026548672567
5,2,0.7534849596478357
5,3,0.8740523355343605
5,4,0.8772315969674737
5,5,0.9060895084372708
5,6,0.917339202739056
5,7,0.9261433113230618
5,8,0.9266324284666178
5,9,0.9359256541941795
5,10,0.937882122768403
5,11,0.9442406456346295
5,12,0.9441860465116279
5,13,0.9465555283157636
5,14,0.9450766947055913
5,15,0.94625
5,16,0.9444302829467245
5,17,0.9454497770784159
5,18,0.9405450041288191
5,19,0.9391025641025641
5,20,0.9382867669634634
5,21,0.9395121951219512
6,2,0.7512839325018342
6,3,0.8818782098312545
6,4,0.8975299584250428
6,5,0.9197847884568354
6,6,0.9219858156028369
6,7,0.9332355099046221
6,8,0.9403277084861824
6,9,0.9369038884812912
6,10,0.9413059427732942
6,11,0.9452054794520548
6,12,0.9502816556453588
6,13,0.9478603049680275
6,14,0.9503229011425732
6,15,0.9465897693079238
6,16,0.9508574353724085
6,17,0.9518674381904261
6,18,0.9506751171121521
6,19,0.9477806788511749
6,20,0.9477703115455101
6,21,0.9454662794449823
7,2,0.7559305453656151
7,3,0.8757642455368061
7,4,0.8870139398385913
7,5,0.9134262655906089
7,6,0.9180728784543898
7,7,0.9271215456101737
7,8,0.9320127170457324
7,9,0.9371484470530692
7,10,0.9410613842015163
7,11,0.9432485322896281
7,12,0.9451652386780905
7,13,0.9480009811135639
7,14,0.9475507174666007
7,15,0.946236559139785
7,16,0.9473014256619144
7,17,0.9518072289156626
7,18,0.9485354503148098
7,19,0.9472779369627508
7,20,0.9441930618401206
7,21,0.9469335875436924
8,2,0.7515284910736121
8,3,0.8779652726828076
8,4,0.888481291269259
8,5,0.9163609684519443
8,6,0.9190511127415016
8,7,0.9295671313279531
8,8,0.9332355099046221
8,9,0.9410613842015163
8,10,0.9386157984837369
8,11,0.9452188799217413
8,12,0.9478707782672541
8,13,0.9502329002206423
8,14,0.9521922219469904
8,15,0.9525237381309345
8,16,0.9510079101811687
8,17,0.9498819207557072
8,18,0.9517279210093252
8,19,0.948636099825885
8,20,0.9485294117647058
8,21,0.9454013649658759
9,2,0.7505502567865003
9,3,0.8738077769625825
9,4,0.8840792369772561
9,5,0.9109806798728295
9,6,0.9212521398875031
9,7,0.9329909513328443
9,8,0.9364147713377354
