N,C_mean,C_lo,C_hi,valid
2,0.7445634629493764,0.7272988505747127,0.7618121790168746,200
3,0.8714037662020054,0.8576669112252384,0.884091464905845,200
4,0.8831132306187333,0.8708730741012473,0.8943690388848129,200
5,0.9086634874052335,0.8972670579603815,0.9188065541697237,200
6,0.9139826363414038,0.9019258987527513,0.9232452922474933,200
7,0.9251406211787723,0.9158473954512105,0.9347028613352898,200
8,0.9281988261188555,0.9168378576669112,0.9364208853020298,200
9,0.9344937637564196,0.9249205184641721,0.9425409635607728,200
10,0.9365651748593788,0.926363414037662,0.9442528735632184,200
11,0.9404075751385337,0.9314884126002766,0.946936257636322,200
12,0.9424423658237265,0.9351129942283989,0.9481012617205483,200
13,0.9448745565702344,0.9372740566887148,0.9511419644386365,200
14,0.9455700877968902,0.9377853968796768,0.9524867500374016,200
15,0.9468625681536222,0.9395851245111357,0.9541972856519383,200
16,0.9465975579388541,0.9378806867565218,0.9533102007638338,200
17,0.9468551119980377,0.9397840298949356,0.9546063207975285,200
18,0.9458079913710697,0.9371212578484825,0.9533053403866183,200
19,0.9453496606606032,0.9379767639814547,0.9532630832401273,200
20,0.9438510404783811,0.9355936411625108,0.9515767990655349,200
21,0.9438290905650065,0.934855130600572,0.9520811454551977,200
